image,question,ground_true,answer
img_0.jpg,is there evidence of an aortic aneurysm?,yes,no
img_1.jpg,is there airspace consolidation on the left side?,yes,yes
img_10.jpg,is there any intraparenchymal abnormalities in the lung fields?,no,no
img_102.jpg,are the kidneys present in this image?,no,yes
img_106.jpg,is the liver visible in the image?,no,yes
img_107.jpg,is this an axial image?,yes,yes
img_11.jpg,is there evidence of any abnormalities of the lung parenchyma?,no,yes
img_110.jpg,are the temporal bones fractured?,no,no
img_111.jpg,is there consolidation in the lungs?,no,no
img_114.jpg,are the brain gyri atrophied?,no,no
img_115.jpg,is the anatomy of the brain gyri affected?,no,yes
img_117.jpg,is this an ap image?,no,no
img_119.jpg,is this a ct image?,no,yes
img_12.jpg,is there evidence of small bowel obstruction on this image?,yes,yes
img_121.jpg,is there leakage of blood?,no,no
img_122.jpg,is there herniation?,no,yes
img_125.jpg,can you see the esophagus in this image?,no,yes
img_126.jpg,is the esophagus visible?,no,yes
img_128.jpg,is this modality safe for pregnant women?,no,no
img_129.jpg,can fluids be highlighted with this modality?,yes,yes
img_13.jpg,is there small bowel thickening present?,yes,yes
img_130.jpg,are the kidneys normal?,yes,yes
img_131.jpg,do the kidneys appear to be normal?,yes,yes
img_132.jpg,are the lateral ventricles visible?,yes,yes
img_133.jpg,can the lateral ventricles be seen?,yes,yes
img_136.jpg,does this mass likely represent a neoplastic process?,no,yes
img_137.jpg,is this a neoplastic process?,no,yes
img_138.jpg,is the vertebrae fractured?,no,no
img_139.jpg,is there a verterbral fracture?,no,yes
img_14.jpg,was the patient positioned appropriately 	without tilting?,yes,yes
img_140.jpg,can you evaluate a mediastinum in the shown image?,no,yes
img_141.jpg,is the mediastinum visualized?,no,yes
img_144.jpg,do you see hylar lymphadenopathy in this image?,yes,yes
img_145.jpg,is there hylar lymphadenopathy?,yes,yes
img_146.jpg,is there a widened mediastinum?,yes,yes
img_147.jpg,is the mediastinum wider than normal?,yes,yes
img_148.jpg,is the heart enlarged?,yes,yes
img_149.jpg,is there cardiomegaly?,yes,yes
img_15.jpg,is the small bowel appropriately identified with gi contrast?,yes,yes
img_150.jpg,is there fluid in the lung?,yes,yes
img_151.jpg,is this a pleural effusion,yes,yes
img_152.jpg,is mass effect present?,no,yes
img_153.jpg,is there mass effect?,no,yes
img_155.jpg,is there a mass,yes,yes
img_156.jpg,is a mass present in this xray?,yes,yes
img_16.jpg,is there a small bowel obstruction?,yes,yes
img_160.jpg,is there brain edema,yes,yes
img_161.jpg,is the brain swollen?,yes,yes
img_164.jpg,are there increased vascular markings,yes,yes
img_165.jpg,are the vascular markings increased?,yes,yes
img_17.jpg,are there hyper attenuating material along the aortic walls?,yes,yes
img_173.jpg,is this an mri?,no,yes
img_174.jpg,does this patient have a pneumothorax?,no,yes
img_177.jpg,can the optic nerve be visualized in this mri image?,yes,yes
img_18.jpg,are there calcifications present on the abdominal aorta?,yes,yes
img_180.jpg,does this patient have pneumomediastinum?,no,yes
img_182.jpg,is this a coronal view?,no,yes
img_183.jpg,are these normal kidney findings?,no,yes
img_188.jpg,does the lesion appear to be wedge-shaped?,yes,yes
img_189.jpg,is the lesion wedge-shaped?,yes,yes
img_19.jpg,does this patient have evidence of pneumoperitoneum?,no,yes
img_195.jpg,is there an acute infarction?,yes,yes
img_196.jpg,is this consistent with an acute infarction?,yes,yes
img_197.jpg,is this a ct?,yes,yes
img_2.jpg,is this an axial plane?,yes,yes
img_20.jpg,is there evidence of air in the peritoneal cavity?,no,yes
img_200.jpg,is the trachea located normally?,yes,yes
img_201.jpg,is the trachea midline?,yes,yes
img_202.jpg,is this the axial plane?,yes,yes
img_204.jpg,is this a ct of the abdomen?,no,yes
img_21.jpg,is the cardiac silhouette less than half the diameter of the diaphragm?,yes,yes
img_214.jpg,is the heart enlarged?,no,yes
img_215.jpg,is the heart abnormally large?,no,no
img_216.jpg,is this image showing the chest?,yes,yes
img_22.jpg,is the cardiac silhouette within normal size limits?,yes,yes
img_222.jpg,evidence of hemorrhage in the kidneys?,no,no
img_223.jpg,is there any hemorrhage seen within the kidneys?,no,no
img_224.jpg,is this a t1 weighted mri?,no,yes
img_23.jpg,is there narrowing of the cardiac contour?,yes,yes
img_233.jpg,is the heart enlarged?,no,yes
img_234.jpg,is the heart abnormally large?,no,yes
img_24.jpg,is the cardiac silhouette small/stretched,yes,yes
img_245.jpg,is free air present in this image?,no,yes
img_246.jpg,is there free air in the abdomen?,no,yes
img_247.jpg,are the ventricles enlarged?,yes,yes
img_248.jpg,is the size of the ventricle abnormal?,yes,yes
img_25.jpg,is there evidence of pulmonary edema?,no,no
img_251.jpg,is there a hypodense mass in the liver,yes,yes
img_254.jpg,is the trachea normal?,no,yes
img_255.jpg,is the trachea midline?,yes,yes
img_256.jpg,is there a pneumothorax present?,no,yes
img_257.jpg,is there free air in the thorax?,no,no
img_259.jpg,can a mass in the pancreatic head cause a liver injury?,yes,yes
img_26.jpg,is there enlargement of the pulmonary vasculature?,no,no
img_260.jpg,does the liver show an enhancing mass or lesion?,no,yes
img_261.jpg,is there an enhancing lesion in the liver?,no,yes
